model_name,mae,rmse,r2,params
Ridge,2628.3891494398636,3406.577730557528,0.6208997961285934,{'alpha': 10.0}
Lasso,2665.8444366695617,3442.246690940779,0.6129194101658758,{'alpha': 10.0}
RandomForest,2584.565489113673,3400.3003188785456,0.6222956694051284,"{'max_depth': 10, 'n_estimators': 200}"
XGBoost,2817.6132483691076,3690.2525451135784,0.5551336170753934,"{'learning_rate': 0.1, 'n_estimators': 100}"
LightGBM,2800.129408978435,3659.630352182533,0.562486101615636,"{'learning_rate': 0.1, 'n_estimators': 100}"
Ridge,2628.3891494398636,3406.577730557528,0.6208997961285934,{'alpha': 10.0}
Lasso,2665.8444366695617,3442.246690940779,0.6129194101658758,{'alpha': 10.0}
RandomForest,2584.565489113673,3400.3003188785456,0.6222956694051284,"{'max_depth': 10, 'n_estimators': 200}"
XGBoost,2817.6132483691076,3690.2525451135784,0.5551336170753934,"{'learning_rate': 0.1, 'n_estimators': 100}"
LightGBM,2800.129408978435,3659.630352182533,0.562486101615636,"{'learning_rate': 0.1, 'n_estimators': 100}"
